,CP18-0194,CP18-0198,CP18-0270,CP18-0283,CP18-0372,CP18-0397,CP18-0489,CP18-0515,CP18-0517,CP18-0644,CP18-0651,CP18-0661,CP18-0869,CP18-0966,CP18-0968,CP18-0991,CP18-0994,CP18-1008,CP18-1015,CP18-1039,CP18-1041,CP18-1042,CP18-1043,CP18-1176,CP18-1182,CP18-1324,CP18-1330,CP18-1342,CP18-1387,CP18-1394,CP18-1395,CP18-1417,CP18-1425,CP18-1576,CP18-1596,CP18-1611,CP18-1612,CP18-1618,CP18-1786,CP18-1884,CP18-1901 POL,CP18-1921 POL,HB 17-3183,HB 17-3208,HB 19-3031,XL16-002,XL16-188,XL17-211,XL17-226,XL16-326
CP18-0194,1.170476556,0.478573382,0.202021986,0.551180348,0.395985544,0.363745257,0.316462681,0.530587077,0.533249438,0.206961557,0.201017901,0.161802888,0.446642682,0.32741002,0.227777459,0.352147505,0.367086366,0.190883741,0.379253447,0.322160184,0.384141728,0.31439954,0.284509167,0.34282577,0.419500023,0.311790377,0.342306763,0.290412113,0.339272425,0.277562931,0.277562931,0.374371514,0.346189931,0.242947057,0.284451663,0.38846463,0.373252913,0.244420797,0.280844226,0.280844226,0.213651538,0.086101577,0.18692914,0.124279194,0.274468139,0.300820351,0.503950089,0.274181396,0.263035819,0.404015452
CP18-0198,0.478573382,1.101903915,0.100934088,0.477548957,0.361699224,0.25160715,0.247534126,0.46463275,0.46951592,0.153635561,0.163184434,0.123482227,0.35096547,0.260151818,0.188454583,0.263512582,0.289317995,0.156409532,0.309119642,0.25265646,0.293274492,0.263908863,0.221577257,0.242058545,0.323153198,0.221229523,0.274712086,0.208223343,0.26362893,0.215872556,0.215872556,0.296937257,0.282345563,0.185032517,0.217635676,0.302324176,0.294501096,0.195028007,0.201440513,0.201440513,0.1630373,0.082758754,0.147048302,0.098127708,0.224990427,0.297269881,0.427524626,0.207495153,0.306709737,0.333312452
CP18-0270,0.202021986,0.100934088,1,0.148432463,0.332126796,0.164354771,0.129137754,0.150773883,0.134055376,0.093438864,0.093818471,0.0815956,0.152536869,0.129654646,0.095338196,0.147042781,0.140515625,0.073786259,0.136662126,0.117219269,0.143622249,0.104444295,0.109305799,0.151399061,0.159736007,0.136415139,0.122899115,0.132178679,0.124876261,0.108657181,0.108657181,0.141304553,0.125055164,0.105543733,0.116588324,0.144752085,0.134318173,0.089552939,0.124996081,0.124996081,0.081101537,0.035350874,0.104456753,0.061246246,0.126482859,0.110415727,0.15778631,0.136029214,0.077435374,0.132341027
CP18-0283,0.551180348,0.477548957,0.148432463,1.182242036,0.401868284,0.352882616,0.33778353,0.543069646,0.546895243,0.203278087,0.212806471,0.16837199,0.470797449,0.317850135,0.229902558,0.337021112,0.37874575,0.197831549,0.402046196,0.349017598,0.388649493,0.339773007,0.300701916,0.323740304,0.425859287,0.305031702,0.36816185,0.276626766,0.367386453,0.297462389,0.297462389,0.408857755,0.380741023,0.256555177,0.293368567,0.407150686,0.389085144,0.260962591,0.284108408,0.284108408,0.237550184,0.090805911,0.182791855,0.131669216,0.279071219,0.298942417,0.524865314,0.27400516,0.243697286,0.431452841
CP18-0372,0.395985544,0.361699224,0.332126796,0.401868284,1,0.208369762,0.19817999,0.384222507,0.39857018,0.117087007,0.114858299,0.089661598,0.302673966,0.201348409,0.135233149,0.213118106,0.235332936,0.118454188,0.248277128,0.212976933,0.247774988,0.211873651,0.181659728,0.198774189,0.26835531,0.182367116,0.225216508,0.165751815,0.222663552,0.176095098,0.176095098,0.241654605,0.226929873,0.145227164,0.174454734,0.251948237,0.243607491,0.161471426,0.163976133,0.163976133,0.139760971,0.049468607,0.104208075,0.069268301,0.159657896,0.179054916,0.3478567,0.158469141,0.161440521,0.273888648
CP18-0397,0.363745257,0.25160715,0.164354771,0.352882616,0.208369762,1.135777831,0.357104525,0.349531502,0.36430496,0.26961153,0.204294682,0.17037344,0.40150252,0.313958079,0.237688154,0.354357958,0.348628849,0.205506459,0.333691627,0.378525689,0.41057165,0.327653885,0.334301725,0.401107453,0.38352862,0.364702247,0.333040878,0.366207682,0.334670663,0.318518102,0.318518102,0.343578786,0.306182727,0.280941844,0.306827124,0.347123414,0.328681633,0.218111455,0.369061492,0.369061492,0.194471627,0.084152922,0.181311958,0.133313879,0.266485713,0.252895072,0.400708973,0.300363988,0.179901689,0.340915948
CP18-0489,0.316462681,0.247534126,0.129137754,0.33778353,0.19817999,0.357104525,1.123849154,0.570388585,0.357888684,0.180590093,0.439639248,0.401609898,0.39115791,0.289903484,0.251447953,0.312408179,0.352327868,0.212762117,0.374847293,0.5058662,0.499184534,0.448415518,0.460729003,0.281674631,0.37695007,0.262950413,0.351882741,0.257052429,0.352716029,0.33490555,0.33490555,0.375244781,0.33398515,0.305256516,0.303192042,0.358225852,0.326476857,0.237836182,0.288356297,0.288356297,0.216238976,0.094339453,0.169288214,0.179107256,0.271683961,0.256926849,0.407093823,0.296632513,0.17978631,0.353371769
CP18-0515,0.530587077,0.46463275,0.150773883,0.543069646,0.384222507,0.349531502,0.570388585,1.146950483,0.532176137,0.20786503,0.459272668,0.416104436,0.456783056,0.345730931,0.265296221,0.373399287,0.405143976,0.209796578,0.426903248,0.348941505,0.392512977,0.325804681,0.312078267,0.338235274,0.443511993,0.30809097,0.368788838,0.299867257,0.365779728,0.310265809,0.310265809,0.419698477,0.379808486,0.287761122,0.309013285,0.413367689,0.382216007,0.269973516,0.294663802,0.294663802,0.24063313,0.106536582,0.198193789,0.190583795,0.304879293,0.322095156,0.513154089,0.332008928,0.260029554,0.412953317
CP18-0517,0.533249438,0.46951592,0.134055376,0.546895243,0.39857018,0.36430496,0.357888684,0.532176137,1.175645828,0.195304178,0.204606198,0.161313772,0.472281352,0.328093655,0.252080582,0.341954529,0.37820296,0.294570208,0.399656191,0.428208411,0.418700784,0.36359261,0.342687711,0.318721995,0.425084546,0.297306448,0.419183031,0.271840408,0.418520495,0.445610985,0.445610985,0.433065563,0.363922715,0.322330669,0.390391748,0.403669,0.388259858,0.258374304,0.328229621,0.328229621,0.224612832,0.08744853,0.173362281,0.123921029,0.274311304,0.288178742,0.523631543,0.269490883,0.235623315,0.430514693
CP18-0644,0.206961557,0.153635561,0.093438864,0.203278087,0.117087007,0.26961153,0.180590093,0.20786503,0.195304178,1.055511832,0.368533939,0.108812392,0.217418492,0.176336117,0.133696161,0.199611813,0.198276147,0.111691289,0.196576022,0.171260037,0.199609071,0.183633752,0.156969115,0.401588291,0.218258336,0.389601275,0.178723924,0.381606102,0.179257952,0.159665138,0.159665138,0.220271058,0.204697154,0.148605011,0.178279065,0.206271321,0.195085943,0.126495704,0.373239256,0.373239256,0.110875472,0.084608927,0.113253381,0.086531267,0.180014215,0.206282169,0.230614558,0.173210651,0.12629357,0.194551915
