PlantYear,Cross,Female,Male,Location,Crop,Plot,Rep,Planted,Survival,Stool,Stalk,Height,Dia,PlotWeight,Brix,TRS,Fiber,Moisture,Pol. Reading,Purity,Sucrose %,MD Index,Spec Residual Outlier,Bu Wt,Bustalks,SW
2020,CP18-0661,HoCP16-685,HoCP14-897,NI,0,1,1,32,31,25,108,152,21.72,160,16.86772614,169.8861843,11.74042282,72.97949219,54.43237686,74.57973399,12.80037785,0.211222659,NO,7.8,,
2020,CP18-0994,HoCP14-830,HoL15-501,NI,0,2,1,32,31,31,148,136,23.2,210,17.65423737,187.1029311,10.55557632,72.88306885,59.02805328,76.98592417,13.82947544,0.163796997,NO,8.7,,
2020,CP18-0283,Ho16-617,L12-201,NI,0,3,1,32,32,28,164,160,18.04,250,17.99804382,195.4837831,10.22941895,73.18230591,61.21813583,78.18876129,14.31907804,0.22801717,NO,6.8,,
2020,CP18-0515,HoCP16-685,L12-201,NI,0,4,1,32,29,28,124,142,20.82,165,16.72809753,175.3690908,11.46093674,73.29700928,55.30767822,76.46181963,13.01477305,0.220279876,NO,9.9,,
2020,CP18-0869,HoL15-501,HoCP96-540,NI,0,5,1,32,31,30,140,142,18.9,160,17.28619995,178.9289079,11.34197998,73.0022583,56.84983444,75.85612654,13.34245089,0.181563715,NO,7.25,,
2020,CP18-0194,L09-112,L12-201,NI,0,6,1,32,31,29,155,168,21.8,40,17.85594025,187.0183748,10.8412384,72.57496338,59.31838989,76.41716858,13.8841432,0.162978149,NO,9.25,,
2020,CP18-0644,Ho13-739,HoL15-993,NI,0,7,1,32,32,28,129,102,24.08,145,15.59571228,138.7992802,10.55513763,75.06166382,46.43648529,69.2244369,10.98525303,0.240564656,NO,6.7,,
2020,CP18-0991,Ho13-708,HoL15-501,NI,0,8,1,32,31,29,112,128,21.78,250,17.58538666,181.2595129,12.25192261,71.95714111,57.76395035,75.65699252,13.53774763,0.225008563,NO,8.6,,
2020,CP18-1008,Ho15-963,HoCP15-506,NI,0,9,1,32,27,25,107,111,19.5,370,16.27447205,161.1112234,10.64337082,74.45523071,51.81964111,73.79349797,12.21997801,0.217415388,NO,6.9,,
2020,CP18-0968,HoCP14-826,Ho15-930,NI,0,10,1,32,31,30,134,116,22.54,75,16.99375916,174.371753,10.56822433,73.71717529,55.50806427,75.44464514,13.04557715,0.2005213,NO,7.15,,
2020,CP18-1425,Ho16-601,Ho07-613,NI,0,11,1,31,27,27,172,168,21.6,110,17.8329361,180.2187329,12.09463272,71.86276855,57.93259048,74.7363833,13.56126957,0.194134269,NO,9,,
2020,CP18-0397,HoCP14-823,HoCP04-838,NI,0,12,1,32,32,31,177,181,18.8,160,18.66399384,210.7896203,12.33862381,70.97476196,65.29659271,80.16541716,15.22429034,0.246980271,NO,7.4,,
2020,CP18-1039,HoCP14-885,Ho12-630,NI,0,13,1,32,32,30,143,151,20.74,150,16.79170837,164.4900289,11.46550446,73.26342773,53.25233841,73.31949493,12.52736601,0.227186395,NO,10.3,,
2020,CP18-1395,Ho15-985,HoCP14-885,NI,0,14,1,32,30,31,151,172,18.66,185,18.25400696,201.2709946,11.2774704,71.99387817,62.76346588,78.94160744,14.66255302,0.180733173,NO,9.6,,
2020,CP18-1042,Ho16-600,Ho12-630,NI,0,15,1,30,28,27,114,148,22.42,85,18.30562897,204.3201689,10.03299637,72.97911987,63.45030975,79.56073662,14.81934024,0.239095205,NO,11.45,,
2020,CP18-1612,HoCP15-996,Ho11-573,NI,0,16,1,32,27,21,162,154,23.16,80,16.69414825,164.6295131,10.55005722,74.14122925,53.13501358,73.61929801,12.50550852,0.218073407,NO,10.05,,
2020,CP18-1786,Ho13-739,HoCP14-885,NI,0,17,1,32,30,30,211,122,17.7,80,17.16645355,176.9712889,11.94399185,72.72587891,56.28181076,75.66494835,13.21663028,0.251875374,NO,5.75,,
2020,CP18-0270,L14-282,HoCP09-804,NI,0,18,1,32,31,27,221,136,18.74,250,17.29313812,175.1703063,11.30196915,72.91885376,56.11556625,74.84387241,13.16968776,0.220749038,NO,5.5,,
2020,CP18-0517,Ho15-964,L12-201,NI,0,19,1,32,32,31,190,138,18.84,240,16.49763641,172.3013784,11.07702332,73.96820679,54.35801315,76.28129992,12.80516656,0.239363778,NO,7.65,,
2020,CP18-1387,Ho12-615,HoCP14-885,NI,0,20,1,27,27,25,183,137,16.4,95,16.41737671,168.9755158,11.01319962,74.13277588,53.58233261,75.58883281,12.62719308,0.238228987,NO,7.1,,
2020,CP18-1041,Ho13-708,Ho12-630,NI,0,21,1,32,32,32,131,164,24.36,195,18.8194809,214.0088375,11.59683456,71.05203857,66.18202209,80.52072193,15.41916012,0.214681551,NO,9.3,,
2020,CP18-1576,HoCP14-826,HoCP14-885,NI,0,22,1,32,31,31,149,157,22.86,180,17.25601501,175.506807,11.23766556,72.93289795,56.12641144,75.03257796,13.1745502,0.199826316,NO,10.5,,
2020,CP18-1596,Ho15-972,Ho16-609,NI,0,23,1,32,30,31,164,138,18.5,130,16.41041412,161.7506331,11.7613884,73.3913208,52.1464119,73.59678744,12.28920579,0.211257171,NO,5.9,,
2020,CP18-1015,Ho14-809,Ho11-512,NI,0,24,1,32,30,30,135,162,20.06,265,15.92188416,160.9072222,11.51111755,73.85812378,51.26051331,74.73680861,12.10805617,0.214967228,NO,9.75,,
2020,CP18-0372,L14-282,L12-201,NI,0,25,1,31,30,30,161,124,19.46,70,17.35274811,186.5279732,11.15510788,73.00411377,58.45627594,77.67600016,13.71514915,0.207363469,NO,6.45,,
