PlantYear,Cross,Female,Male,Location,Crop,Plot,Rep,Planted,Survival,Row,Column,PlotWeight
2021,CP18-0283,Ho16-617,L12-201,SG,2,1,1,32,30,12,3,175
2021,CP18-0515,HoCP16-685,L12-201,SG,2,2,1,32,18,11,3,85
2021,CP18-0869,HoL15-501,HoCP96-540,SG,2,3,1,32,27,10,3,0
2021,CP18-0194,L09-112,L12-201,SG,2,4,1,32,30,9,3,0
2021,CP18-0644,Ho13-739,HoL15-993,SG,2,5,1,32,28,8,3,90
2021,CP18-0991,Ho13-708,HoL15-501,SG,2,6,1,32,28,21,1,20
2021,CP18-1008,Ho15-963,HoCP15-506,SG,2,7,1,32,32,22,1,70
2021,CP18-0968,HoCP14-826,Ho15-930,SG,2,8,1,32,31,22,3,75
2021,CP18-1425,Ho16-601,Ho07-613,SG,2,9,1,32,31,21,3,130
2021,CP18-0397,HoCP14-823,HoCP04-838,SG,2,10,1,32,25,20,3,150
2021,CP18-1039,HoCP14-885,Ho12-630,SG,2,11,1,32,25,19,3,80
2021,CP18-1395,Ho15-985,HoCP14-885,SG,2,12,1,32,30,18,3,100
2021,CP18-1612,HoCP15-996,Ho11-573,SG,2,13,1,32,30,17,3,115
2021,CP18-0517,Ho15-964,L12-201,SG,2,14,1,32,31,16,3,145
2021,CP18-1387,Ho12-615,HoCP14-885,SG,2,15,1,32,32,15,3,155
2021,CP18-1041,Ho13-708,Ho12-630,SG,2,16,1,32,27,2,3,15
2021,CP18-1576,HoCP14-826,HoCP14-885,SG,2,17,1,32,31,1,3,30
2021,CP18-1015,Ho14-809,Ho11-512,SG,2,18,1,32,27,1,5,35
2021,CP18-0372,L14-282,L12-201,SG,2,19,1,32,29,2,5,160
2021,CP18-1342,Ho13-739,HoL15-508,SG,2,20,1,32,24,3,5,110
2021,CP18-1618,HoCP14-897,HoCP14-830,SG,2,21,1,32,31,7,3,50
2021,CP18-1330,HoCP15-996,HoCP14-885,SG,2,22,1,32,28,6,3,210
2021,CP18-1176,Ho13-739,Ho13-708,SG,2,23,1,32,22,5,3,0
2021,CP18-0198,L13-257,L12-201,SG,2,24,1,32,26,4,3,5
2021,CP18-1324,Ho13-739,Ho11-573,SG,2,25,1,32,22,3,3,5
2021,CP18-1182,HoCP14-830,Ho13-708,SG,2,26,1,32,32,11,1,230
2021,CP18-1043,HoCP14-826,Ho12-630,SG,2,27,1,32,32,12,1,140
2021,XL17-211,CP83-644,HO11-532,SG,2,29,1,32,30,13,1,85
2021,XL17-226,LCP81-010,HO13-705,SG,2,30,1,32,32,14,1,95
2021,CP18-1921 POLY,Ho16-666,Poly18-4,SG,2,31,1,32,31,15,1,125
2021,HB 19-3031,Ho18-9248,HoCP14-802,SG,2,32,1,32,30,2,1,345
2021,CP18-0651,HoCP16-685,HoL15-993,SG,2,33,1,32,28,3,1,130
2021,CP18-0966,Ho13-708,Ho15-930,SG,2,34,1,32,26,4,1,10
2021,CP18-0994,HoCP14-830,HoL15-501,SG,2,35,1,32,25,5,1,165
2021,CP18-1042,Ho16-600,Ho12-630,SG,2,36,1,32,30,16,1,150
2021,CP18-0270,L14-282,HoCP09-804,SG,2,37,1,32,30,17,1,165
2021,CP18-1786,Ho13-739,HoCP14-885,SG,2,38,1,29,28,18,1,145
2021,CP18-1596,Ho15-972,Ho16-609,SG,2,39,1,32,30,19,1,100
2021,XL16-002,L07-057,L99-233,SG,2,40,1,32,24,20,1,35
2021,CP18-1394,Ho15-972,HoCP14-885,SG,2,41,1,31,29,6,1,185
2021,CP18-1901 POLY,Ho07-613,Poly18-3,SG,2,42,1,32,30,7,1,110
2021,CP18-0661,HoCP16-685,HoCP14-897,SG,2,43,1,32,26,8,1,5
2021,CP18-0489,HoCP16-685,Ho12-630,SG,2,44,1,32,27,9,1,195
2021,CP18-1417,Ho16-680,Ho07-613,SG,2,45,1,32,32,10,1,155
2021,HB 17-3183,Ho16-9068,HoCP12-650,SG,2,46,1,32,32,14,3,180
2021,CP18-1884,Ho13-739,HoCP14-885,SG,2,48,1,31,30,13,3,220
2021,CP18-0283,Ho16-617,L12-201,SG,2,1,2,32,16,11,7,0
2021,CP18-0515,HoCP16-685,L12-201,SG,2,2,2,32,26,10,7,40
2021,CP18-0869,HoL15-501,HoCP96-540,SG,2,3,2,32,24,9,7,0
2021,CP18-0194,L09-112,L12-201,SG,2,4,2,32,30,8,7,0
2021,CP18-0644,Ho13-739,HoL15-993,SG,2,5,2,32,22,7,7,0
2021,CP18-0991,Ho13-708,HoL15-501,SG,2,6,2,32,28,16,7,30
2021,CP18-1008,Ho15-963,HoCP15-506,SG,2,7,2,32,29,15,7,25
2021,CP18-0968,HoCP14-826,Ho15-930,SG,2,8,2,32,28,14,7,180
2021,CP18-1425,Ho16-601,Ho07-613,SG,2,9,2,32,20,13,7,5
2021,CP18-0397,HoCP14-823,HoCP04-838,SG,2,10,2,32,20,12,7,0
2021,CP18-1039,HoCP14-885,Ho12-630,SG,2,11,2,32,18,4,5,195
2021,CP18-1395,Ho15-985,HoCP14-885,SG,2,12,2,32,19,5,5,120
2021,CP18-1612,HoCP15-996,Ho11-573,SG,2,13,2,32,23,6,5,165
2021,CP18-0517,Ho15-964,L12-201,SG,2,14,2,32,21,7,5,130
2021,CP18-1387,Ho12-615,HoCP14-885,SG,2,15,2,32,29,8,5,190
2021,CP18-1041,Ho13-708,Ho12-630,SG,2,16,2,32,26,2,9,85
2021,CP18-1576,HoCP14-826,HoCP14-885,SG,2,17,2,32,24,3,9,90
2021,CP18-1015,Ho14-809,Ho11-512,SG,2,18,2,32,26,4,9,60
2021,CP18-0372,L14-282,L12-201,SG,2,19,2,32,26,5,9,125
2021,CP18-1342,Ho13-739,HoL15-508,SG,2,20,2,32,20,6,9,20
2021,CP18-1618,HoCP14-897,HoCP14-830,SG,2,21,2,32,22,6,7,0
2021,CP18-1330,HoCP15-996,HoCP14-885,SG,2,22,2,32,31,5,7,0
2021,CP18-1176,Ho13-739,Ho13-708,SG,2,23,2,32,29,4,7,5
2021,CP18-0198,L13-257,L12-201,SG,2,24,2,32,24,3,7,30
2021,CP18-1324,Ho13-739,Ho11-573,SG,2,25,2,32,21,2,7,0
2021,CP18-1182,HoCP14-830,Ho13-708,SG,2,26,2,32,29,19,5,145
2021,CP18-1043,HoCP14-826,Ho12-630,SG,2,27,2,32,32,20,5,175
2021,XL17-211,CP83-644,HO11-532,SG,2,29,2,32,31,21,5,100
2021,XL17-226,LCP81-010,HO13-705,SG,2,30,2,32,31,22,5,165
2021,CP18-1921 POLY,Ho16-666,Poly18-4,SG,2,31,2,32,27,9,5,125
2021,HB 19-3031,Ho18-9248,HoCP14-802,SG,2,32,2,32,31,10,5,185
2021,CP18-0651,HoCP16-685,HoL15-993,SG,2,33,2,32,17,11,5,200
2021,CP18-0966,Ho13-708,Ho15-930,SG,2,34,2,32,24,12,5,110
2021,CP18-0994,HoCP14-830,HoL15-501,SG,2,35,2,32,27,13,5,175
2021,CP18-1042,Ho16-600,Ho12-630,SG,2,36,2,31,31,21,7,120
2021,CP18-0270,L14-282,HoCP09-804,SG,2,37,2,32,32,20,7,100
2021,CP18-1786,Ho13-739,HoCP14-885,SG,2,38,2,30,23,19,7,105
2021,CP18-1596,Ho15-972,Ho16-609,SG,2,39,2,32,32,18,7,70
2021,XL16-002,L07-057,L99-233,SG,2,40,2,32,29,17,7,0
2021,CP18-1394,Ho15-972,HoCP14-885,SG,2,41,2,32,29,14,5,205
2021,CP18-1901 POLY,Ho07-613,Poly18-3,SG,2,42,2,32,22,15,5,165
2021,CP18-0661,HoCP16-685,HoCP14-897,SG,2,43,2,29,17,16,5,20
2021,CP18-0489,HoCP16-685,Ho12-630,SG,2,44,2,32,21,17,5,195
2021,CP18-1417,Ho16-680,Ho07-613,SG,2,45,2,25,24,18,5,135
2021,HB 17-3183,Ho16-9068,HoCP12-650,SG,2,46,2,31,30,7,9,195
2021,CP18-1884,Ho13-739,HoCP14-885,SG,2,48,2,30,30,8,9,175
2021,CP18-0283,Ho16-617,L12-201,SG,2,1,1,32,30,12,4,195
2021,CP18-0515,HoCP16-685,L12-201,SG,2,2,1,32,18,11,4,165
2021,CP18-0869,HoL15-501,HoCP96-540,SG,2,3,1,32,27,10,4,35
2021,CP18-0194,L09-112,L12-201,SG,2,4,1,32,30,9,4,85
2021,CP18-0644,Ho13-739,HoL15-993,SG,2,5,1,32,28,8,4,80
2021,CP18-0991,Ho13-708,HoL15-501,SG,2,6,1,32,28,21,2,125
2021,CP18-1008,Ho15-963,HoCP15-506,SG,2,7,1,32,32,22,2,70
2021,CP18-0968,HoCP14-826,Ho15-930,SG,2,8,1,32,31,22,4,65
2021,CP18-1425,Ho16-601,Ho07-613,SG,2,9,1,32,31,21,4,230
2021,CP18-0397,HoCP14-823,HoCP04-838,SG,2,10,1,32,25,20,4,205
2021,CP18-1039,HoCP14-885,Ho12-630,SG,2,11,1,32,25,19,4,0
2021,CP18-1395,Ho15-985,HoCP14-885,SG,2,12,1,32,30,18,4,205
2021,CP18-1612,HoCP15-996,Ho11-573,SG,2,13,1,32,30,17,4,175
2021,CP18-0517,Ho15-964,L12-201,SG,2,14,1,32,31,16,4,170
2021,CP18-1387,Ho12-615,HoCP14-885,SG,2,15,1,32,32,15,4,180
2021,CP18-1041,Ho13-708,Ho12-630,SG,2,16,1,32,27,2,4,85
2021,CP18-1576,HoCP14-826,HoCP14-885,SG,2,17,1,32,31,1,4,240
2021,CP18-1015,Ho14-809,Ho11-512,SG,2,18,1,32,27,1,6,40
2021,CP18-0372,L14-282,L12-201,SG,2,19,1,32,29,2,6,190
2021,CP18-1342,Ho13-739,HoL15-508,SG,2,20,1,32,24,3,6,125
2021,CP18-1618,HoCP14-897,HoCP14-830,SG,2,21,1,32,31,7,4,55
2021,CP18-1330,HoCP15-996,HoCP14-885,SG,2,22,1,32,28,6,4,205
2021,CP18-1176,Ho13-739,Ho13-708,SG,2,23,1,32,22,5,4,75
2021,CP18-0198,L13-257,L12-201,SG,2,24,1,32,26,4,4,55
2021,CP18-1324,Ho13-739,Ho11-573,SG,2,25,1,32,22,3,4,85
2021,CP18-1182,HoCP14-830,Ho13-708,SG,2,26,1,32,32,11,2,175
2021,CP18-1043,HoCP14-826,Ho12-630,SG,2,27,1,32,32,12,2,115
2021,XL17-211,CP83-644,HO11-532,SG,2,29,1,32,30,13,2,130
2021,XL17-226,LCP81-010,HO13-705,SG,2,30,1,32,32,14,2,135
2021,CP18-1921 POLY,Ho16-666,Poly18-4,SG,2,31,1,32,31,15,2,175
2021,HB 19-3031,Ho18-9248,HoCP14-802,SG,2,32,1,32,30,2,2,110
2021,CP18-0651,HoCP16-685,HoL15-993,SG,2,33,1,32,28,3,2,110
2021,CP18-0966,Ho13-708,Ho15-930,SG,2,34,1,32,26,4,2,115
2021,CP18-0994,HoCP14-830,HoL15-501,SG,2,35,1,32,25,5,2,150
2021,CP18-1042,Ho16-600,Ho12-630,SG,2,36,1,32,30,16,2,200
2021,CP18-0270,L14-282,HoCP09-804,SG,2,37,1,32,30,17,2,150
2021,CP18-1786,Ho13-739,HoCP14-885,SG,2,38,1,29,28,18,2,120
2021,CP18-1596,Ho15-972,Ho16-609,SG,2,39,1,32,30,19,2,115
2021,XL16-002,L07-057,L99-233,SG,2,40,1,32,24,20,2,145
2021,CP18-1394,Ho15-972,HoCP14-885,SG,2,41,1,31,29,6,2,70
2021,CP18-1901 POLY,Ho07-613,Poly18-3,SG,2,42,1,32,30,7,2,130
2021,CP18-0661,HoCP16-685,HoCP14-897,SG,2,43,1,32,26,8,2,60
2021,CP18-0489,HoCP16-685,Ho12-630,SG,2,44,1,32,27,9,2,140
2021,CP18-1417,Ho16-680,Ho07-613,SG,2,45,1,32,32,10,2,215
2021,HB 17-3183,Ho16-9068,HoCP12-650,SG,2,46,1,32,32,14,4,195
2021,CP18-1884,Ho13-739,HoCP14-885,SG,2,48,1,31,30,13,4,250
2021,CP18-0283,Ho16-617,L12-201,SG,2,1,2,32,16,11,8,0
2021,CP18-0515,HoCP16-685,L12-201,SG,2,2,2,32,26,10,8,0
2021,CP18-0869,HoL15-501,HoCP96-540,SG,2,3,2,32,24,9,8,10
2021,CP18-0194,L09-112,L12-201,SG,2,4,2,32,30,8,8,30
2021,CP18-0644,Ho13-739,HoL15-993,SG,2,5,2,32,22,7,8,45
2021,CP18-0991,Ho13-708,HoL15-501,SG,2,6,2,32,28,16,8,0
2021,CP18-1008,Ho15-963,HoCP15-506,SG,2,7,2,32,29,15,8,0
2021,CP18-0968,HoCP14-826,Ho15-930,SG,2,8,2,32,28,14,8,135
2021,CP18-1425,Ho16-601,Ho07-613,SG,2,9,2,32,20,13,8,40
2021,CP18-0397,HoCP14-823,HoCP04-838,SG,2,10,2,32,20,12,8,0
2021,CP18-1039,HoCP14-885,Ho12-630,SG,2,11,2,32,18,4,6,115
2021,CP18-1395,Ho15-985,HoCP14-885,SG,2,12,2,32,19,5,6,30
2021,CP18-1612,HoCP15-996,Ho11-573,SG,2,13,2,32,23,6,6,40
2021,CP18-0517,Ho15-964,L12-201,SG,2,14,2,32,21,7,6,0
2021,CP18-1387,Ho12-615,HoCP14-885,SG,2,15,2,32,29,8,6,160
2021,CP18-1041,Ho13-708,Ho12-630,SG,2,16,2,32,26,2,10,100
2021,CP18-1576,HoCP14-826,HoCP14-885,SG,2,17,2,32,24,3,10,145
2021,CP18-1015,Ho14-809,Ho11-512,SG,2,18,2,32,26,4,10,60
2021,CP18-0372,L14-282,L12-201,SG,2,19,2,32,26,5,10,215
2021,CP18-1342,Ho13-739,HoL15-508,SG,2,20,2,32,20,6,10,195
2021,CP18-1618,HoCP14-897,HoCP14-830,SG,2,21,2,32,22,6,8,85
2021,CP18-1330,HoCP15-996,HoCP14-885,SG,2,22,2,32,31,5,8,75
2021,CP18-1176,Ho13-739,Ho13-708,SG,2,23,2,32,29,4,8,130
2021,CP18-0198,L13-257,L12-201,SG,2,24,2,32,24,3,8,0
